"Research that uses data from D-PLACE should cite both the original source(s) of the data and the paper by Kirby et al. in which D-PLACE was first presented (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001); Binford and Johnson (2006); Kirby et al. 2016)."" The reference list should include the date data were accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001), Binford and Johnson (2006), and Kirby et al. 2016."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,eHRAF name,eHRAF code,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: B004 Subsistence economy: Most important activity,Code: B004 Subsistence economy: Most important activity,Description: B004 Subsistence economy: Most important activity,Comment: B004 Subsistence economy: Most important activity,Subcase: B004 Subsistence economy: Most important activity,References: B004 Subsistence economy: Most important activity,Focal Year: B037 Ownership of resource locations ,Code: B037 Ownership of resource locations ,Description: B037 Ownership of resource locations ,Comment: B037 Ownership of resource locations ,Subcase: B037 Ownership of resource locations ,References: B037 Ownership of resource locations ,Focal Year: B031 Type of social class distinction,Code: B031 Type of social class distinction,Description: B031 Type of social class distinction,Comment: B031 Type of social class distinction,Subcase: B031 Type of social class distinction,References: B031 Type of social class distinction
Binford Hunter-Gatherer,Paakintji,B128,xd973,Barkindji (B128),,,-32.4,142.25,-32.4,142.25,darl1243,Paakantyi,drl,Pama-Nyungan,1890,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,,1890,1,"No ownership reported, use rights recognized by others",,,,1890,1,Absence of any significant class distinctions,,,
Binford Hunter-Gatherer,Tlicho,B361,xd1032,Dogrib (B361),,,63.85,-115.61,63.85,-115.61,dogr1252,Dogrib,dgr,Athapaskan-Eyak-Tlingit,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Helm (1968); Helm (1972); Keith (1960); MacKenzie (1966); Szathmary (1984),1860,1,"No ownership reported, use rights recognized by others",,,Helm (1968); Helm (1972); Keith (1960); MacKenzie (1966); Szathmary (1984),1860,1,Absence of any significant class distinctions,,,Helm (1968); Helm (1972); Keith (1960); MacKenzie (1966); Szathmary (1984)
Binford Hunter-Gatherer,Deg Xit'an,B357,xd1066,Ingalik (B357),,,61.82,-157.75,61.82,-157.75,dege1248,Degexit'an,ing,Athapaskan-Eyak-Tlingit,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Michael (1967); Osgood (1958); Oswalt and Van Stone (1967); Porter (1893); Snow (1981); Sullivan (1942),1880,4,Elite ownership of land and resources,,,Michael (1967); Osgood (1958); Oswalt and Van Stone (1967); Porter (1893); Snow (1981); Sullivan (1942),1880,1,Absence of any significant class distinctions,,,Michael (1967); Osgood (1958); Oswalt and Van Stone (1967); Porter (1893); Snow (1981); Sullivan (1942)
Binford Hunter-Gatherer,Seri,B143,xd1289,Seri (B143),Seri,NU31,29.59,-112.18,29.59,-112.18,seri1257,Seri,sei,Seri,1900,3,Majority of a group's nutritional intake comes from aquatic resources,,,Bowen (1976); Gilg (1965); Griffen (1959); Kroeber (1931); McGee (1898),1900,1,"No ownership reported, use rights recognized by others",,,Bowen (1976); Gilg (1965); Griffen (1959); Kroeber (1931); McGee (1898),1900,1,Absence of any significant class distinctions,,,Bowen (1976); Gilg (1965); Griffen (1959); Kroeber (1931); McGee (1898)
Binford Hunter-Gatherer,Lardil,B102,xd951,Lardil (B102),,,-16.48,139.32,-16.3,139.3,lard1243,Lardil,lbz,Tangkic,1909,3,Majority of a group's nutritional intake comes from aquatic resources,,,Memmott (1983a); Memmott (1983b),1909,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Memmott (1983a); Memmott (1983b),1909,1,Absence of any significant class distinctions,,,Memmott (1983a); Memmott (1983b)
Binford Hunter-Gatherer,Hualapai,B198,xd1202,Walapai (B198),,,35.95,-114.5,35.95,-114.5,wala1270,Walapai,,Cochimi-Yuman,1870,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Hayden (1936); Hrdlička (1909); Kniffen (1935); Kroeber (1935),1870,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Hayden (1936); Hrdlička (1909); Kniffen (1935); Kroeber (1935),1870,1,Absence of any significant class distinctions,,,Hayden (1936); Hrdlička (1909); Kniffen (1935); Kroeber (1935)
Binford Hunter-Gatherer,Tubaduka,B221,xd1175,Grouse Creek Shoshoni (B221),,,41.59,-113.94,41.59,-113.94,west2622,Western Shoshoni,,Uto-Aztecan,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Lassik,B167,xd1098,Lassik (B167),,,40.18,-123.16,40.18,-123.16,wail1244,Wailaki,wlk,Athapaskan-Eyak-Tlingit,NA,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,,NA,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,,NA,2,Wealth distinctions only,,,
Binford Hunter-Gatherer,North Albany Ojibwa,B339,xd1004,North Albany Ojibwa (B339),,,51.22,-83.1,51.22,-83.1,wini1244,Winisk River Ojibwa,,Algic,1850,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Dunning (1959); Rogers (1969),1850,1,"No ownership reported, use rights recognized by others",,,Dunning (1959); Rogers (1969),1850,1,Absence of any significant class distinctions,,,Dunning (1959); Rogers (1969)
Binford Hunter-Gatherer,Inuvialuit,B378,xd1019,Mackenzie Inuit (B378),,,69.67,-132.08,69.96,-132.09,sigl1242,Siglit,,Eskimo-Aleut,1910,3,Majority of a group's nutritional intake comes from aquatic resources,,,Hayden et al. (1996); McGhee (1988); Seltzer (1933); Smith (1984); Tyrrell (1897),1910,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Hayden et al. (1996); McGhee (1988); Seltzer (1933); Smith (1984); Tyrrell (1897),1910,2,Wealth distinctions only,,,Hayden et al. (1996); McGhee (1988); Seltzer (1933); Smith (1984); Tyrrell (1897)
Binford Hunter-Gatherer,Wikmunkan,B90,xd781,Wikmunkan (B90),,,-13.47,142.0,-13.47,142.0,wikm1247,Wik-Mungkan,wim,Pama-Nyungan,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Peterson and Long (1986); Thomson (1939); Wills (1980),1920,1,"No ownership reported, use rights recognized by others",,,Peterson and Long (1986); Thomson (1939); Wills (1980),1920,1,Absence of any significant class distinctions,,,Peterson and Long (1986); Thomson (1939); Wills (1980)
Binford Hunter-Gatherer,Gunwinygu,B84,xd939,Gunwinggu (B84),,,-12.43,134.12,-12.43,134.12,gunw1252,Bininj Kun-Wok,gup,Gunwinyguan,1978,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Altman (1987); Berndt and Berndt (1970); Peterson and Long (1986),1978,1,"No ownership reported, use rights recognized by others",,,Altman (1987); Berndt and Berndt (1970); Peterson and Long (1986),1978,1,Absence of any significant class distinctions,,,Altman (1987); Berndt and Berndt (1970); Peterson and Long (1986)
Binford Hunter-Gatherer,Puyallup,B270,xd1076,Puyallup (B270),,,47.11,-122.04,47.11,-122.04,sout2965,Southern Puget Sound Salish,slh,Salishan,1870,3,Majority of a group's nutritional intake comes from aquatic resources,,,Smith (1940a); Smith (1940b),1870,4,Elite ownership of land and resources,,,Smith (1940a); Smith (1940b),1870,2,Wealth distinctions only,,,Smith (1940a); Smith (1940b)
Binford Hunter-Gatherer,Ngatatjara,B118,xd965,Ngatatjara (B118),,,-25.32,127.27,-25.32,127.27,ngaa1240,Ngaanyatjarra,ntj,Pama-Nyungan,1968,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Gould (1968); Gould (1969); Gould (1971); Gould (1977),1968,1,"No ownership reported, use rights recognized by others",,,Gould (1968); Gould (1969); Gould (1971); Gould (1977),1968,1,Absence of any significant class distinctions,,,Gould (1968); Gould (1969); Gould (1971); Gould (1977)
Binford Hunter-Gatherer,Karajarri,B104,xd953,Karadjeri (B104),,,-18.94,121.68,-18.92,121.21,kara1476,Karadjeri,gbd,Pama-Nyungan,NA,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,,NA,1,"No ownership reported, use rights recognized by others",,,,NA,1,Absence of any significant class distinctions,,,
Binford Hunter-Gatherer,Arapaho,B246,xd1228,Arapaho (B246),Arapaho,NQ06,40.13,-102.72,40.13,-102.72,arap1274,Arapaho,arp,Algic,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Eggan (1937); Flannery (1953); Gussow et al. (1974); Hilger (1952),1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Eggan (1937); Flannery (1953); Gussow et al. (1974); Hilger (1952),1860,1,Absence of any significant class distinctions,,,Eggan (1937); Flannery (1953); Gussow et al. (1974); Hilger (1952)
Binford Hunter-Gatherer,Norton Sound Inuit,B369,xd1014,Norton Sound Inuit (B369),,,63.98,-160.75,63.98,-160.75,kusk1241,Kuskokwim Yupik,,Eskimo-Aleut,1870,3,Majority of a group's nutritional intake comes from aquatic resources,,,Ray (1992); Seltzer (1933),1870,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Ray (1992); Seltzer (1933),1870,2,Wealth distinctions only,,,Ray (1992); Seltzer (1933)
Binford Hunter-Gatherer,Djaru,B108,xd956,Djaru (B108),,,-19.16,130.0,-19.16,130.0,jaru1254,Jaru,ddj,Pama-Nyungan,1934,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Kaberry (1939); Nind (1831),1934,1,"No ownership reported, use rights recognized by others",,,Kaberry (1939); Nind (1831),1934,1,Absence of any significant class distinctions,,,Kaberry (1939); Nind (1831)
Binford Hunter-Gatherer,Inughuit (Northern Greenland),B390,xd1031,Polar Inuit (B390),,,77.53,-69.5,77.49,-69.5,pola1254,Polar Eskimo,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Ekblaw (1928); Ekblaw (1948); Gilberg (1984); Roberts (1953); Steensby (1910),1880,1,"No ownership reported, use rights recognized by others",,,Ekblaw (1928); Ekblaw (1948); Gilberg (1984); Roberts (1953); Steensby (1910),1880,1,Absence of any significant class distinctions,,,Ekblaw (1928); Ekblaw (1948); Gilberg (1984); Roberts (1953); Steensby (1910)
Binford Hunter-Gatherer,Mbuti,B65,xd5,Mbuti (B65),Mbuti,FO04,1.54,28.61,1.54,28.61,kang1285,Kango (Tshopo District),kzy,Atlantic-Congo,1930,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Cavalli-Sforza (1986c); Harako (1976); Hiernaux et al. (1975); Ichikawa (1978); Putnam (1948); Roberts (1953); Tanno (1976); Turnbull (1965a),1930,1,"No ownership reported, use rights recognized by others",,,Cavalli-Sforza (1986c); Harako (1976); Hiernaux et al. (1975); Ichikawa (1978); Putnam (1948); Roberts (1953); Tanno (1976); Turnbull (1965a),1930,1,Absence of any significant class distinctions,,,Cavalli-Sforza (1986c); Harako (1976); Hiernaux et al. (1975); Ichikawa (1978); Putnam (1948); Roberts (1953); Tanno (1976); Turnbull (1965a)
Binford Hunter-Gatherer,Kaurareg,B82,xd937,Kaurareg (B82),,,-10.73,142.15,-10.77,142.12,kala1377,Kala Lagaw Ya,mwp,Pama-Nyungan,1848,3,Majority of a group's nutritional intake comes from aquatic resources,,,Moore (1979),1848,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Moore (1979),1848,1,Absence of any significant class distinctions,,,Moore (1979)
Binford Hunter-Gatherer,Tümpisa Shoshone (Saline),B200,xd1166,Saline Valley Shoshoni (B200),Western,NT22,36.65,-117.79,36.65,-117.79,pana1305,Panamint,par,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1936); Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1936); Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1936); Steward (1938)
Binford Hunter-Gatherer,Kariyarra,B106,xd780,Kariera (B106),,,-20.88,118.27,-20.88,118.27,kari1304,Kariyarra,vka,Pama-Nyungan,1910,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Clement (1903); Radcliffe-Brown (1912),1910,1,"No ownership reported, use rights recognized by others",,,Clement (1903); Radcliffe-Brown (1912),1910,1,Absence of any significant class distinctions,,,Clement (1903); Radcliffe-Brown (1912)
Binford Hunter-Gatherer,Tahltan,B347,xd1043,Tahltan (B347),,,57.66,-127.85,57.66,-127.85,tahl1239,Tahltan,tht,Athapaskan-Eyak-Tlingit,1870,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Boas (1901); Emmons (1911); MacLachlan (1981),1870,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Boas (1901); Emmons (1911); MacLachlan (1981),1870,2,Wealth distinctions only,,,Boas (1901); Emmons (1911); MacLachlan (1981)
Binford Hunter-Gatherer,Kotzebue Sound Inuit,B371,xd1016,Kotzebue Sound Inuit (B371),,,66.77,-161.53,66.77,-161.53,kotz1238,Kotzebue Sound Inupiatun,,Eskimo-Aleut,1880,3,Majority of a group's nutritional intake comes from aquatic resources,,,Burch (1975); Burch (1984); Rodahl and Edwards (1952),1880,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Burch (1975); Burch (1984); Rodahl and Edwards (1952),1880,2,Wealth distinctions only,,,Burch (1975); Burch (1984); Rodahl and Edwards (1952)
Binford Hunter-Gatherer,Jankundjara,B123,xd969,Jankundjara (B123),,,-27.0,131.95,-27.0,131.95,yank1247,Yankunytjatjara,kdd,Pama-Nyungan,1922,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Tindale pers. comm. (1965); Tindale pers. comm. (1966); Tindale pers. comm. (1966-68); White (1915),1922,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Tindale pers. comm. (1965); Tindale pers. comm. (1966); Tindale pers. comm. (1966-68); White (1915),1922,1,Absence of any significant class distinctions,,,Tindale pers. comm. (1965); Tindale pers. comm. (1966); Tindale pers. comm. (1966-68); White (1915)
Binford Hunter-Gatherer,Chichimeca,B191,xd1290,Chichimec (B191),,,22.0,-100.0,22.0,-100.0,chic1272,Chichimeca-Jonaz,pei,Otomanguean,1570,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,,1570,1,"No ownership reported, use rights recognized by others",,,,1570,1,Absence of any significant class distinctions,,,
Binford Hunter-Gatherer,Antelope Valley Shoshoni,B224,xd995,Antelope Valley Shoshoni (B224),,,40.19,-114.24,40.19,-114.24,west2622,Western Shoshoni,,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1938)
Binford Hunter-Gatherer,Jarawa,B6,xd903,Jarwa (B6),,,12.17,92.65,12.19,92.37,jara1245,Jarawa (India),anq,Jarawa-Onge,1906,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Temple (1903),1906,1,"No ownership reported, use rights recognized by others",,,Temple (1903),1906,1,Absence of any significant class distinctions,,,Temple (1903)
Binford Hunter-Gatherer,Semang,B9,xd725,Semang (B9),Semang,AN07,5.86,101.0,5.86,101.0,kens1248,Kensiu,kns,Austroasiatic,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Brandt (1961); Evans (1937); Kuchikura (1988); Rambo (1985); Schebesta (1954); Schebesta (1962a); Skeat and Blagden (1906); Whiting (1964),1920,1,"No ownership reported, use rights recognized by others",,,Brandt (1961); Evans (1937); Kuchikura (1988); Rambo (1985); Schebesta (1954); Schebesta (1962a); Skeat and Blagden (1906); Whiting (1964),1920,1,Absence of any significant class distinctions,,,Brandt (1961); Evans (1937); Kuchikura (1988); Rambo (1985); Schebesta (1954); Schebesta (1962a); Skeat and Blagden (1906); Whiting (1964)
Binford Hunter-Gatherer,Vedda,B10,xd690,Vedda (B10),Vedda,AX05,8.59,81.19,8.58,81.25,vedd1240,Veddah,ved,Indo-European,1900,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Bailey (1863); Seligmann and Seligmann (1911); Skeat and Blagden (1906); Spittel (1945),1900,1,"No ownership reported, use rights recognized by others",,,Bailey (1863); Seligmann and Seligmann (1911); Skeat and Blagden (1906); Spittel (1945),1900,1,Absence of any significant class distinctions,,,Bailey (1863); Seligmann and Seligmann (1911); Skeat and Blagden (1906); Spittel (1945)
Binford Hunter-Gatherer,Kadar,B19,xd912,Kadar (B19),,,10.25,77.17,10.25,77.17,kada1242,Kadar,kej,Dravidian,1946,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Ehrenfels (1952),1946,1,"No ownership reported, use rights recognized by others",,,Ehrenfels (1952),1946,1,Absence of any significant class distinctions,,,Ehrenfels (1952)
Binford Hunter-Gatherer,Umatilla,B316,xd1151,Umatilla (B316),,,45.49,-119.94,45.49,-119.94,umat1237,Umatilla,uma,Sahaptian,1860,3,Majority of a group's nutritional intake comes from aquatic resources,,,,1860,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,,1860,2,Wealth distinctions only,,,
Binford Hunter-Gatherer,Hare,B352,xd1009,Hare (B352),,,67.47,-125.0,67.47,-125.0,nort2942,North Slavey,scs,Athapaskan-Eyak-Tlingit,1860,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Helm (1961); MacKenzie (1966); Savishinsky (1974); Savishinsky and Hara (1981); Whiting (1964),1860,1,"No ownership reported, use rights recognized by others",,,Helm (1961); MacKenzie (1966); Savishinsky (1974); Savishinsky and Hara (1981); Whiting (1964),1860,1,Absence of any significant class distinctions,,,Helm (1961); MacKenzie (1966); Savishinsky (1974); Savishinsky and Hara (1981); Whiting (1964)
Binford Hunter-Gatherer,Tümpisa Shoshone (Death Valley),B192,xd1166,Death Valley Shoshoni (B192),Western,NT22,36.52,-116.81,36.52,-116.81,pana1305,Panamint,par,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Smith (1978a); Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Smith (1978a); Steward (1938),1860,1,Absence of any significant class distinctions,,,Smith (1978a); Steward (1938)
Binford Hunter-Gatherer,Karankawa,B193,xd1215,Karankawa (B193),,,28.44,-96.91,28.44,-96.91,kara1289,Karankawa,zkk,Karankawa,1800,3,Majority of a group's nutritional intake comes from aquatic resources,,,Bolton (1916); Schaedel (1949); Stiles (1906),1800,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Bolton (1916); Schaedel (1949); Stiles (1906),1800,1,Absence of any significant class distinctions,,,Bolton (1916); Schaedel (1949); Stiles (1906)
Binford Hunter-Gatherer,Mistissini Cree,B338,xd1062,Mistassini Cree (B338),,,51.75,-72.66,51.75,-72.66,sout2978,Southern East Cree,crj,Algic,1880,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Lips (1947a); Morantz (1983); Rogers (1963a); Rogers (1969); Rogers (1972); Rogers (1973); Speck (1923),1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Lips (1947a); Morantz (1983); Rogers (1963a); Rogers (1969); Rogers (1972); Rogers (1973); Speck (1923),1880,1,Absence of any significant class distinctions,,,Lips (1947a); Morantz (1983); Rogers (1963a); Rogers (1969); Rogers (1972); Rogers (1973); Speck (1923)
Binford Hunter-Gatherer,Kaiadilt,B103,xd952,Kaiadilt (B103),,,-16.94,139.03,-16.94,139.28,kaya1319,Kayardild,gyd,Tangkic,1928,3,Majority of a group's nutritional intake comes from aquatic resources,,,Tindale (1962a); Tindale (1962b),1928,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Tindale (1962a); Tindale (1962b),1928,1,Absence of any significant class distinctions,,,Tindale (1962a); Tindale (1962b)
Binford Hunter-Gatherer,Yintjingga,B93,xd945,Yintjingga (B93),,,-14.0,143.5,-14.0,143.5,umpi1239,Umpila,ump,Pama-Nyungan,1930,3,Majority of a group's nutritional intake comes from aquatic resources,,,Thomson (1933); Thomson (1934),1930,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Thomson (1933); Thomson (1934),1930,1,Absence of any significant class distinctions,,,Thomson (1933); Thomson (1934)
Binford Hunter-Gatherer,Kaakutju,B91,xd943,Kakadu (B91),,,-13.13,132.95,-13.13,132.95,gaga1251,Gagadu,gbu,Gagadu,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Chaloupka (1981); Leichhardt (1847); McCarthy and MacArthur (1960); Spencer (1966),1920,2,"Local group claims exclusive use rights over resource location, residential sites, while households may claim special trees and similar features of the landscape",,,Chaloupka (1981); Leichhardt (1847); McCarthy and MacArthur (1960); Spencer (1966),1920,1,Absence of any significant class distinctions,,,Chaloupka (1981); Leichhardt (1847); McCarthy and MacArthur (1960); Spencer (1966)
Binford Hunter-Gatherer,Washo,B225,xd1196,Washo (B225),Washo,NT20,39.08,-119.82,39.08,-119.82,wash1253,Washo,was,Washo,1850,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,d'Azevedo (1963); Downs (1966); Gifford (1926b); Price (1962),1850,1,"No ownership reported, use rights recognized by others",,,d'Azevedo (1963); Downs (1966); Gifford (1926b); Price (1962),1850,1,Absence of any significant class distinctions,,,d'Azevedo (1963); Downs (1966); Gifford (1926b); Price (1962)
Binford Hunter-Gatherer,Anak Dalam,B3,xd757,Kubu (B3),,,-3.04,102.69,-3.04,102.69,kubu1239,Kubu,kvb,Austronesian,1900,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Hagen (1908); Persoon (1989); Volz (1909),1900,1,"No ownership reported, use rights recognized by others",,,Hagen (1908); Persoon (1989); Volz (1909),1900,1,Absence of any significant class distinctions,,,Hagen (1908); Persoon (1989); Volz (1909)
Binford Hunter-Gatherer,Guató,B42,xd1403,Guato (B42),,,-18.0,-57.5,-18.0,-57.5,guat1253,Guató,gta,Guató,1901,3,Majority of a group's nutritional intake comes from aquatic resources,,,Metraux (1946guato); Schmidt (1942),1901,1,"No ownership reported, use rights recognized by others",,,Metraux (1946guato); Schmidt (1942),1901,1,Absence of any significant class distinctions,,,Metraux (1946guato); Schmidt (1942)
Binford Hunter-Gatherer,G/wi,B74,xd932,G/wi (B74),,,-22.46,23.39,-22.46,23.39,gwii1239,/Gwi,gwj,Khoe-Kwadi,1962,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Hitchcock pers. comm. (1990); Silberbauer (1972); Silberbauer (1981a); Silberbauer (1981b); Tobias (1962); Weissner and Hitchcock pers. comm. (1991),1962,1,"No ownership reported, use rights recognized by others",,,Hitchcock pers. comm. (1990); Silberbauer (1972); Silberbauer (1981a); Silberbauer (1981b); Tobias (1962); Weissner and Hitchcock pers. comm. (1991),1962,1,Absence of any significant class distinctions,,,Hitchcock pers. comm. (1990); Silberbauer (1972); Silberbauer (1981a); Silberbauer (1981b); Tobias (1962); Weissner and Hitchcock pers. comm. (1991)
Binford Hunter-Gatherer,Pitjandjara,B120,xd967,Pitjandjara (B120),,,-26.0,130.0,-26.0,130.0,pitj1243,Pitjantjatjara,pjt,Pama-Nyungan,1968,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Brokensha (1975); Campbell et al. (1936); Layton (1983); Long (1970); Peterson and Long (1986); Tindale (1972); Yengoyan (1970),1968,1,"No ownership reported, use rights recognized by others",,,Brokensha (1975); Campbell et al. (1936); Layton (1983); Long (1970); Peterson and Long (1986); Tindale (1972); Yengoyan (1970),1968,1,Absence of any significant class distinctions,,,Brokensha (1975); Campbell et al. (1936); Layton (1983); Long (1970); Peterson and Long (1986); Tindale (1972); Yengoyan (1970)
Binford Hunter-Gatherer,Hai//om,B68,xd930,Hai//om (B68),,,-18.65,16.12,-18.65,16.12,haio1238,Hai//om,hgm,Khoe-Kwadi,1920,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Fourie (1927); Fourie (1928); Tobias (1962); Werner (1906a),1920,1,"No ownership reported, use rights recognized by others",,,Fourie (1927); Fourie (1928); Tobias (1962); Werner (1906a),1920,1,Absence of any significant class distinctions,,,Fourie (1927); Fourie (1928); Tobias (1962); Werner (1906a)
Binford Hunter-Gatherer,Yuwaalaraay,B125,xd970,Ualarai (B125),,,-29.3,147.25,-29.3,147.25,gami1243,Gamilaraay,kld,Pama-Nyungan,1880,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Parker (1905),1880,1,"No ownership reported, use rights recognized by others",,,Parker (1905),1880,1,Absence of any significant class distinctions,,,Parker (1905)
Binford Hunter-Gatherer,Eyak,B295,xd1102,Eyak (B295),,,60.48,-144.0,60.48,-144.0,eyak1241,Eyak,eya,Athapaskan-Eyak-Tlingit,1890,3,Majority of a group's nutritional intake comes from aquatic resources,,,Birket-Smith and De Laguna (1938); de Laguna (1990),1890,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Birket-Smith and De Laguna (1938); de Laguna (1990),1890,2,Wealth distinctions only,,,Birket-Smith and De Laguna (1938); de Laguna (1990)
Binford Hunter-Gatherer,Koso,B197,xd1165,Koso Mountain Shoshoni (B197),Western,NT22,36.12,-117.7,36.12,-117.7,pana1305,Panamint,par,Uto-Aztecan,1860,2,Majority of a group's nutritional intake comes from terrestrial plant resources,,,Steward (1936); Steward (1938),1860,1,"No ownership reported, use rights recognized by others",,,Steward (1936); Steward (1938),1860,1,Absence of any significant class distinctions,,,Steward (1936); Steward (1938)
Binford Hunter-Gatherer,Kalispel,B326,xd1145,Kalispel (B326),Southeast,NR19,47.94,-115.67,47.94,-115.67,kali1309,Kalispel,,Salishan,1870,3,Majority of a group's nutritional intake comes from aquatic resources,,,Teit (1930),1870,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Teit (1930),1870,1,Absence of any significant class distinctions,,,Teit (1930)
Binford Hunter-Gatherer,Dene,B355,xd1046,Chippewyan (B355),Chipewyan,ND07,59.47,-106.19,59.47,-106.19,chip1261,Chipewyan,chp,Athapaskan-Eyak-Tlingit,1880,1,Majority of a group's nutritional intake comes from terrestrial animal resources,,,Brumbach and Jarvenpa (1989); Fidler (1934); Grant (1936); Irimoto (1981); Muller-Wille (1974); Smith (1976); Smith (1978a); Smith (1981),1880,3,"Local group claims for hunting areas, dominant animals, fishing sites, and animal drive locations, such claims administered by group leader, but smaller segments may claim exclusive access to resource locations",,,Brumbach and Jarvenpa (1989); Fidler (1934); Grant (1936); Irimoto (1981); Muller-Wille (1974); Smith (1976); Smith (1978a); Smith (1981),1880,1,Absence of any significant class distinctions,,,Brumbach and Jarvenpa (1989); Fidler (1934); Grant (1936); Irimoto (1981); Muller-Wille (1974); Smith (1976); Smith (1978a); Smith (1981)
